,Idx,Sent.
0,12,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings."
1,17,"In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district."
2,18,"Guerrillas killed an engineer, Asi Ali, from Tikrit."
3,22,"Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers."
4,27,The Commission said it had no legal grounds for such an exclusion.
5,38,Al-Sharq al-Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died.
6,39,A team from the court managed to take his deposition before he died.
7,46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air."
8,48,"And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land."
9,52,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time""."
10,56,"I guess it's just the old new Arab 'Me against my brother, me and my brother against my cousin, me and my cousin against my enemy', or 'The enemy of my enemy is my friend' thing going on again."
11,62,Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone.
12,63,Al-Iraqiyah tv said that ICDC were controlling Ramadi.
13,64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin, an Al-Qaeda operative in Saudi Arabia on an Islamic website 'the voice of Jihad', in which he stated that ""although mutilating dead bodies is not originally permitted in Islam, but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions""."
14,65,"He added that ""America does not understand anything except the language of force and retaliation, they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see"", and that ""the day will come when the dead bodies of Americans and Jews would be dragged, defiled, and stepped on in the Arabian peninsula together with their agents and supporters""."
15,67,"We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout."
16,74,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions, and that public health has been severely affected by exposure to radiation."
17,78,The prestigious IAEA (International Atomic Energy Agency) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects.
18,81,"The dramatic increase in radiation-induced thyroid cancers in children and adolescents in Belarus, Russia, and Ukraine, which have been observed since 1991, continues to this day."
19,83,"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus, Russia, and Ukraine - in the post-accident period is characterized by persistent negative tendencies: the morbidity rate is going up, the number of really healthy children is dropping, and disability is increasing ."
20,85,There is a lot to learn about Chernobyl.
21,87,There are a wealth of references on Chernobyl.
22,89,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl:
23,118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy (primitive at best!) and stopped when a lesion on my neck started enlarging--they said it was not CA but stopped the treatments....
24,122,The Chernobyl Children's Project (http://www.adiccp.org/home/default.asp) offers several ways to help the children of that region.
25,125,S. and I have an acquaintance who has hosted several of these children for many years; to see these little ones breaks the heart.
26,132,"These are 1) Assassinate or overthrow Gen. Pervez Musharraf, the Pakistani military ""president"" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al-Qaeda."
27,135,"Musharraf held elections in October of 2002, in which center-right parties did well, but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition, MMA."
28,145,Al-Zawahiri attempted to use Musharraf's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow.
29,146,"The Kashmir issue generates far more terrorism, and even the threat of nuclear war, than Iraq ever did."
30,153,"Israel owes the United States at least this much, in this crisis, to cease militarily unnecessary provocations and establish genuine peace."
31,159,The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.
